# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
qing qiu 	請求	c=4 d=0.000104883 t=59920
qing song 	輕鬆	c=1 d=1 t=6370
qing wei 	清偉	c=21 d=2.00203 t=59316
qing wei zai 	清偉再	c=1 d=1 t=15473
qing wen 	請問	c=2 d=1 t=56853
qing wu 	請勿	c=1 d=1 t=4927
qing xi 	清晰	c=8 d=0.0380983 t=59920
qing xiang yu 	傾向於	c=3 d=1.99005 t=38306
qing yi 	輕易	c=1 d=1 t=25443
qing zhi xi 	請知悉	c=1 d=1 t=51586
qiong 	窮	c=1 d=0.1 t=29807
qiu 	秋	c=1 d=1 t=29916
qiu zhu 	求助	c=1 d=0.064894 t=59920
qu 	區	c=2 d=1.92774 t=57738
qu 	去	c=104 d=0.0184076 t=59920
qu 	取	c=9 d=0.10241 t=57347
qu ba 	去吧	c=1 d=1 t=36347
qu bie 	區別	c=7 d=1 t=46119
qu bu dao 	去不到	c=1 d=1 t=55897
qu bu dao 	取不到	c=2 d=1.96079 t=55978
qu bu liao 	去不了	c=1 d=1 t=18688
qu chu 	取出	c=1 d=1 t=34635
qu dai 	取代	c=4 d=1.83946 t=46335
qu dao 	取到	c=4 d=0.100002 t=46704
qu dao le 	取到了	c=1 d=1 t=46705
qu de 	去的	c=1 d=1 t=8646
qu de 	取得	c=6 d=3.55347e-05 t=59920
qu de le 	取得了	c=1 d=1 t=12252
qu diao 	去掉	c=17 d=0.0590129 t=59920
qu diao le 	去掉了	c=2 d=1 t=55783
qu fen 	區分	c=17 d=2.22396 t=58774
qu jue yu 	取決於	c=1 d=1 t=37339
qu kan 	去看	c=2 d=1.31037 t=16576
qu le 	去了	c=4 d=3.28876e-06 t=59920
qu nian 	去年	c=1 d=1 t=41531
qu suo 	去鎖	c=4 d=2.60241 t=46285
qu tang 	去趟	c=1 d=1 t=29261
qu xia 	去下	c=1 d=1 t=19263
qu xia 	取下	c=2 d=1 t=18212
qu xiao 	取消	c=2 d=0.00113416 t=59920
qu yu 	區域	c=1 d=1 t=21242
qu zhao ta 	去找她	c=1 d=1 t=28816
qu zheng 	取整	c=2 d=9.03412e-07 t=59920
qu zhi 	取值	c=2 d=1.00003 t=17108
qu zhu 	驅逐	c=2 d=1.98511 t=34779
qu zou 	取走	c=1 d=1 t=55199
qu zuo 	去做	c=4 d=1.03917 t=50124
quan 	全	c=6 d=1.00002 t=56075
quan ban qi 	全辦齊	c=1 d=1 t=18193
quan bu 	全部	c=3 d=1 t=47849
quan bu wei 	全部爲	c=1 d=1 t=30755
quan chang 	全場	c=1 d=1 t=25685
quan cheng 	全稱	c=2 d=1 t=51666
quan dou 	全都	c=3 d=1 t=37146
quan ju 	全局	c=32 d=0.000433153 t=59920
quan ju suo 	全局鎖	c=1 d=1 t=31944
quan ju xin xi 	全局信息	c=1 d=4.84572e-07 t=59920
quan li 	權利	c=1 d=3.92282e-07 t=59920
quan li de you xi 	權利的遊戲	c=1 d=3.3471e-07 t=59920
quan mian 	全面	c=5 d=1.90032 t=46861
quan shi 	全市	c=1 d=1 t=44399
quan ti 	全體	c=1 d=1 t=51353
quan tian 	全天	c=1 d=1 t=41550
quan wen 	全文	c=21 d=1.74144 t=58407
quan xia 	全下	c=0 d=0.1 t=18146
quan xia lai 	全下來	c=1 d=1 t=18147
quan xian 	權限	c=7 d=1 t=57577
que 	卻	c=5 d=1.35169 t=52154
que bao 	確保	c=14 d=0.207008 t=59920
que dian 	缺點	c=7 d=1.78297 t=48963
que ding 	確定	c=11 d=2.86143 t=54141
que ren 	確認	c=39 d=1.06508 t=58194
que ren guo 	卻忍過	c=1 d=1 t=11118
que ren le 	確認了	c=2 d=1 t=51494
que shao 	缺少	c=4 d=0.304221 t=59920
que sheng 	缺省	c=3 d=2.58956 t=38478
que shi 	確實	c=39 d=0.0497901 t=59920
que shi 	確是	c=1 d=1 t=10191
que shi 	缺失	c=3 d=1 t=59453
que shi shi 	確實是	c=1 d=1 t=38939
que xian 	缺陷	c=5 d=1 t=58006
qun 	羣	c=1 d=1 t=37313
ran 	然	c=1 d=1 t=12159
ran hou 	然後	c=173 d=0.368288 t=59920
rang 	讓	c=66 d=2.00321 t=59722
rang ni 	讓你	c=2 d=1 t=36808
rang ren 	讓人	c=3 d=1 t=33838
rang ta 	讓他	c=10 d=1.39319 t=52303
rang wo 	讓我	c=3 d=1.00001 t=32458
re 	熱	c=3 d=2.04633 t=34612
re shu ju 	熱數據	c=2 d=1.97045 t=34461
re ye 	熱頁	c=13 d=6.60365 t=34719
ren 	人	c=17 d=0.000155739 t=59920
ren gong 	人工	c=2 d=1 t=29142
ren guo 	忍過	c=0 d=0.1 t=11117
ren he 	任何	c=13 d=0.343893 t=59920
ren he ren 	任何人	c=1 d=1 t=16377
ren jia 	人家	c=2 d=1 t=20386
ren kan 	人看	c=1 d=1 t=14766
ren men 	人們	c=1 d=1 t=38608
ren shi 	認識	c=2 d=1 t=27532
ren shu 	人數	c=1 d=1 t=25682
ren wei 	人爲	c=1 d=1 t=7560
ren wei 	認爲	c=7 d=7.82971e-05 t=59920
ren wu 	人物	c=1 d=3.33041e-07 t=59920
ren wu 	任務	c=96 d=0.286095 t=59920
ren wu diao du 	任務調度	c=1 d=1 t=56680
ren wu dui lie 	任務隊列	c=1 d=1 t=32765
ren yi 	人意	c=1 d=1 t=58962
ren yi 	任意	c=10 d=0.00827522 t=59920
ren yuan 	人員	c=17 d=1 t=49926
ren zhen 	認真	c=3 d=1 t=36740
ren zhi 	任職	c=5 d=1 t=52515
ren zhi zi ge 	任職資格	c=3 d=1 t=51391
reng 	仍	c=6 d=1 t=54024
reng 	扔	c=1 d=1 t=10751
reng an 	仍按	c=1 d=1 t=23411
reng hui 	扔回	c=1 d=1 t=9663
reng jin 	扔進	c=1 d=1 t=49458
reng ran 	仍然	c=12 d=1 t=57760
reng shang lai 	扔上來	c=1 d=1 t=14857
reng xu 	仍需	c=1 d=1 t=18893
reng you 	仍有	c=5 d=0.108609 t=59920
reng zai 	仍在	c=3 d=1 t=53100
ri 	日	c=8 d=1 t=56245
ri chang 	日常	c=1 d=1 t=40249
ri qi 	日期	c=4 d=1 t=49648
ri zhi 	日誌	c=71 d=3.13541 t=57888
ri zhi deng ji 	日誌等級	c=1 d=1 t=57289
ri zi 	日子	c=2 d=1 t=20394
rong chang 	冗長	c=1 d=1 t=54589
rong he 	融合	c=1 d=1 t=49612
rong na 	容納	c=2 d=1 t=57314
rong qi 	容器	c=3 d=1.04076 t=49196
rong ru 	融入	c=2 d=1 t=47865
rong yi 	容易	c=10 d=0.628135 t=59920
rong yi chu cuo 	容易出錯	c=1 d=6.02255e-06 t=59920
rong yi dong 	容易懂	c=1 d=1 t=35824
ru 	入	c=3 d=0.00571306 t=59920
ru 	如	c=42 d=0.556983 t=59920
ru ci 	如此	c=5 d=1 t=55070
ru guo 	如果	c=320 d=1.61254 t=59920
ru guo cun zai 	如果存在	c=1 d=4.14995e-07 t=59920
ru hai kou 	入海口	c=1 d=1 t=37443
ru he 	如何	c=24 d=0.00229965 t=59920
ru he chu li 	如何處理	c=1 d=0.00125578 t=59920
ru kou 	入口	c=1 d=1 t=41213
ru men 	入門	c=2 d=0.97531 t=59920
ru shou 	入手	c=4 d=1.02313 t=37913
ru shou fen xi le 	入手分析了	c=1 d=1 t=37914
ru xia 	如下	c=27 d=0.146058 t=59920
ru you 	如有	c=3 d=1 t=13594
ru zhi 	入職	c=5 d=0.0753961 t=59920
ruan jian 	軟件	c=6 d=1.93239 t=58145
ruan jian lei 	軟件類	c=2 d=1.96561 t=8008
ruo 	弱	c=1 d=1 t=40312
ruo gan 	若干	c=21 d=0.991135 t=59920
ruo gan ge 	若干個	c=1 d=1 t=48028
sai jin 	塞進	c=1 d=1 t=9646
san 	三	c=5 d=1.00002 t=30386
san ci 	三次	c=1 d=1 t=27433
san dian 	三點	c=6 d=1.96079 t=53986
san ge 	三個	c=8 d=0.000854495 t=59920
san kuai 	三塊	c=1 d=1 t=44480
san miao 	三秒	c=1 d=1 t=22421
san shi 	三十	c=1 d=0.1 t=31471
san tian 	三天	c=1 d=1 t=24036
san tiao 	三條	c=1 d=3.77385e-07 t=59920
san zhe 	三者	c=1 d=1 t=16096
san zhong 	三種	c=1 d=1 t=26100
san zu 	三組	c=8 d=4.41763 t=51376
sang 	桑	c=1 d=1 t=9118
sao 	掃	c=1 d=0.000304273 t=59920
sao le 	掃了	c=1 d=1 t=15475
sao le yi yan 	掃了一眼	c=1 d=1 t=9375
sao miao 	掃描	c=2 d=0.000124028 t=59920
sao yi xia 	掃一下	c=2 d=0.00305798 t=59920
sao yi yan 	掃一眼	c=2 d=1 t=40051
sha 	啥	c=16 d=1 t=58028
sha 	殺	c=3 d=1 t=55866
sha diao 	殺掉	c=1 d=1 t=33148
sha diao le 	殺掉了	c=3 d=1.00005 t=58023
sha guo 	砂鍋	c=1 d=1 t=55919
sha le 	殺了	c=1 d=1 t=55858
sha shi hou 	啥時候	c=1 d=1 t=3537
sha si 	殺死	c=4 d=1 t=49882
sha si hou 	殺死後	c=1 d=1 t=13187
sha wen ti 	啥問題	c=1 d=1 t=12854
sha ye 	啥也	c=1 d=1 t=33113
sha yi si 	啥意思	c=3 d=1 t=28869
shai de 	曬得	c=0 d=0.1 t=32820
shan 	刪	c=1 d=1 t=6146
shan biao 	刪表	c=1 d=1 t=8725
shan chu 	刪除	c=13 d=0.000156571 t=59920
shan chu diao 	刪除掉	c=1 d=1 t=39556
shan diao 	刪掉	c=13 d=1.53526 t=51607
shan diao ba 	刪掉吧	c=2 d=1 t=50791
shan diao le 	刪掉了	c=4 d=1.00088 t=58354
shan le 	刪了	c=3 d=1 t=56916
shan ren 	閃人	c=1 d=1 t=45831
shan tie 	刪貼	c=1 d=3.71766e-07 t=59920
shang 	上	c=331 d=1.0389 t=59920
shang 	尚	c=6 d=1 t=59264
shang ban 	上班	c=0 d=0.1 t=56653
shang ban hou 	上班後	c=1 d=1 t=56654
shang bu liao 	上不了	c=1 d=1 t=22408
shang ceng 	上層	c=9 d=0.249075 t=59920
shang chuan 	上傳	c=8 d=1 t=59783
shang chuan dao 	上傳到	c=0 d=0.1 t=36033
shang chuan dao le 	上傳到了	c=1 d=1 t=36034
shang ci 	上次	c=14 d=0.00349997 t=59920
shang dao 	上到	c=2 d=1 t=33601
shang ge yue 	上個月	c=2 d=0.100004 t=22957
shang ge yue mo 	上個月末	c=1 d=1 t=22958
shang liang 	商量	c=13 d=1 t=49545
shang mian 	上面	c=47 d=1.04106 t=58096
shang qian 	上千	c=1 d=1 t=40040
shang qu 	上去	c=7 d=0.759572 t=59920
shang qu le 	上去了	c=1 d=1 t=45859
shang shang ci 	上上次	c=1 d=1 t=34388
shang shu 	上述	c=30 d=0.126923 t=59920
shang suo 	上鎖	c=1 d=1 t=13874
shang tao 	商討	c=1 d=1 t=10904
shang tu 	上圖	c=2 d=1.16696 t=59137
shang tu zhong 	上圖中	c=1 d=1 t=15606
shang wang 	上網	c=2 d=1 t=16492
shang wei 	尚未	c=7 d=1.01592 t=54689
shang wu 	上午	c=10 d=0.00285124 t=59920
shang xia wen 	上下文	c=3 d=1 t=44022
shang xian 	上線	c=1 d=1 t=13744
shang yi 	上一	c=0 d=0.1 t=50772
shang yi ban 	上一版	c=1 d=1 t=50773
shang yi ci 	上一次	c=4 d=1.90032 t=34391
shang you 	上游	c=2 d=0.00673795 t=59920
shang you 	尚有	c=1 d=1 t=55587
shang zhou 	上週	c=6 d=0.0607532 t=59920
shang zhou liu 	上週六	c=1 d=1 t=29712
shang zhou wu 	上週五	c=1 d=1 t=52790
shao 	少	c=7 d=3.97693e-06 t=59920
shao 	燒	c=3 d=1.0053 t=21407
shao 	稍	c=1 d=1 t=27361
shao da 	稍大	c=1 d=1 t=43690
shao deng 	稍等	c=13 d=1.12224 t=56763
shao deng wo 	稍等我	c=1 d=1 t=33440
shao gai 	稍改	c=1 d=1 t=39730
shao hao 	稍好	c=2 d=1 t=10409
shao hou 	稍後	c=7 d=1.01156 t=57466
shao jian 	少見	c=1 d=1 t=10300
shao kuai 	稍塊	c=1 d=1 t=27935
shao le 	少了	c=1 d=1 t=33539
shao liang 	少量	c=2 d=1 t=48006
shao mei 	燒煤	c=1 d=1 t=20342
shao qiao 	少敲	c=1 d=1 t=45271
shao shang 	稍上	c=5 d=1 t=47492
shao shang wo 	稍上我	c=2 d=1 t=39400
shao wei 	稍微	c=20 d=3.63464e-06 t=59920
shao wo 	稍我	c=1 d=1 t=12751
shao you 	稍有	c=2 d=0.110955 t=59920
shao you bu tong 	稍有不同	c=1 d=0.127454 t=59920
she bei 	設備	c=4 d=2.50354e-08 t=59920
she cheng 	設成	c=1 d=1 t=55600
she ding 	設定	c=1 d=1 t=57459
she ji 	涉及	c=16 d=0.0523397 t=59920
she ji 	設計	c=55 d=2.64151 t=59920
she ji dao 	涉及到	c=6 d=1 t=46378
she ji le 	設計了	c=5 d=1 t=58802
she ji wen dang 	設計文檔	c=1 d=1 t=53783
she li 	設立	c=1 d=1 t=15539
she shi 	設施	c=1 d=1 t=39918
she shui 	涉水	c=0 d=0.1 t=39463
she shui xian 	涉水險	c=1 d=1 t=39464
she wei 	設爲	c=1 d=1 t=43390
she xiang 	設想	c=2 d=1 t=31141
she yan 	蛇眼	c=1 d=1 t=49803
she zhi 	設置	c=94 d=0.000835219 t=59920
she zhi cheng 	設置成	c=2 d=1 t=55631
she zhi cheng le 	設置成了	c=1 d=1 t=43159
she zhi le 	設置了	c=1 d=1 t=44998
she zhi wei 	設置爲	c=5 d=1 t=57525
shen 	神	c=0 d=0.1 t=32227
shen bian 	身邊	c=1 d=1 t=12319
shen cha 	審查	c=2 d=1 t=16588
shen chu 	深處	c=1 d=1 t=57200
shen ke 	深刻	c=1 d=1 t=16738
shen me 	什麼	c=114 d=0.0191587 t=59920
shen qing 	申請	c=53 d=1.42319 t=57364
shen qing le 	申請了	c=1 d=1 t=30290
shen qing nei cun 	申請內存	c=1 d=1 t=39366
shen tong bu 	神同步	c=1 d=1 t=32228
shen yue 	審閱	c=1 d=0.767206 t=59920
shen zhi 	甚至	c=6 d=1.87985 t=42797
shen zhong 	慎重	c=1 d=2.58703e-06 t=59920
sheng 	省	c=2 d=1 t=45288
sheng 	聖	c=1 d=8.61148e-07 t=59920
sheng bing 	生病	c=0 d=0.1 t=13288
sheng bing le 	生病了	c=1 d=1 t=13289
sheng chan 	生產	c=1 d=1 t=45869
sheng chan zhe 	生產者	c=0 d=0.1 t=53439
sheng cheng 	升成	c=0 d=0.1 t=40813
sheng cheng 	生成	c=26 d=0.108662 t=59920
sheng cheng 	聲稱	c=2 d=1.99005 t=39865
sheng cheng le 	升成了	c=1 d=1 t=40814
sheng cheng qi 	生成器	c=2 d=1.99005 t=21288
sheng de 	省得	c=4 d=1 t=56090
sheng dian 	省點	c=0 d=0.1 t=33052
sheng dian shi 	省點事	c=1 d=1 t=33053
sheng ji 	升級	c=10 d=1 t=57830
sheng ji le 	升級了	c=1 d=1 t=35038
sheng ming 	聲明	c=10 d=3.29048 t=52152
sheng ming zhou qi 	生命週期	c=1 d=1 t=48232
sheng shi 	省事	c=1 d=1 t=27834
sheng tai 	生態	c=4 d=1.00016 t=49611
sheng xia 	剩下	c=2 d=1.12938 t=29635
sheng xia 	省下	c=2 d=0.1 t=39359
sheng xia le 	省下了	c=1 d=1 t=39360
sheng xiao 	生效	c=2 d=1 t=56449
sheng xun 	盛訊	c=3 d=1 t=57697
sheng yu 	剩餘	c=3 d=1 t=29655
shi 	事	c=4 d=0.923116 t=59920
shi 	使	c=4 d=0.000407691 t=59920
shi 	是	c=783 d=1.16098 t=59920
shi 	時	c=143 d=0.986856 t=59920
shi 	視	c=2 d=1.94227e-06 t=59920
shi 	試	c=2 d=1.00005 t=13491
shi ba 	是吧	c=12 d=1 t=52908
shi ba 	是把	c=1 d=1 t=15401
shi bai 	失敗	c=68 d=1.00165 t=57779
shi bian 	十遍	c=1 d=1 t=41066
shi bie 	識別	c=2 d=0.0257325 t=59920
shi bie chu 	識別出	c=1 d=1 t=38809
shi bu shi 	是不是	c=60 d=0.0761246 t=59920
shi bu shi 	時不時	c=2 d=1 t=28005
shi bu shi yang 	是不是樣	c=1 d=1 t=56034
shi chu lai 	試出來	c=1 d=1 t=12034
shi dang 	適當	c=17 d=1.93111e-07 t=59920
shi de 	似地	c=1 d=1 t=18110
shi de 	使得	c=6 d=2.66533 t=54284
shi de hua 	是的話	c=1 d=1 t=8114
shi duo shao 	是多少	c=1 d=1 t=56919
shi fang 	釋放	c=7 d=1 t=59168
shi fen zhi yi 	十分之一	c=2 d=1 t=53843
shi fen zhong 	十分鐘	c=2 d=1 t=33446
shi fou 	是否	c=112 d=0.224859 t=59920
shi fou neng 	是否能	c=1 d=1 t=57936
shi ge 	是個	c=5 d=1 t=53824
shi guo 	試過	c=3 d=0.1 t=38928
shi hang ban 	是航班	c=1 d=1 t=7053
shi hao shi huai 	時好時壞	c=1 d=1 t=20664
shi he 	適合	c=3 d=1.00157 t=43882
shi hou 	時候	c=154 d=0.188822 t=59920
shi ji 	實際	c=31 d=0.337915 t=59920
shi ji 	時機	c=4 d=1.34372 t=49141
shi ji shang 	實際上	c=4 d=1 t=49077
shi jian 	事件	c=5 d=0.00013845 t=59920
shi jian 	實踐	c=1 d=1 t=48003
shi jian 	時間	c=122 d=0.757499 t=59920
shi jian kan kan 	時間看看	c=1 d=1 t=48291
shi ke 	時刻	c=1 d=1 t=34375
shi li 	實例	c=9 d=0.000453064 t=59920
shi li 	示例	c=14 d=0.000239573 t=59920
shi me 	是麼	c=3 d=1 t=47607
shi qing 	事情	c=24 d=1 t=59571
shi qing le 	事情了	c=1 d=1 t=35034
shi shi 	實施	c=2 d=1.00007 t=24248
shi shi 	實時	c=1 d=1 t=43781
shi shi 	試試	c=37 d=0.134217 t=59920
shi ti 	實體	c=0 d=0.1 t=16215
shi ti hua 	實體化	c=1 d=1 t=42866
shi ti ji 	實體機	c=2 d=1 t=58431
shi tong 	視同	c=1 d=1 t=29694
shi wei 	視爲	c=1 d=1 t=3520
shi wu 	事務	c=10 d=0.000100034 t=59920
shi wu 	失誤	c=1 d=1 t=39575
shi wu ge 	十五個	c=1 d=1 t=12586
shi wu xing 	事務性	c=1 d=1 t=27197
shi xian 	實現	c=103 d=0.563344 t=59920
shi xian le 	實現了	c=7 d=0.00423234 t=59920
shi xiang 	是想	c=0 d=0.1 t=14298
shi xiang yao 	是想要	c=1 d=1 t=14299
shi yan 	實驗	c=10 d=1.14803 t=59709
shi yan le 	實驗了	c=1 d=1 t=58753
shi yan xing 	實驗性	c=1 d=1 t=59412
shi yi tu 	示意圖	c=1 d=1 t=36916
shi yi xia 	是一下	c=1 d=1 t=53061
shi yi xie 	是一些	c=1 d=1 t=59276
shi yin wei 	是因爲	c=1 d=1 t=3560
shi yong 	使用	c=253 d=0.938374 t=59920
shi yong 	實用	c=2 d=0.45612 t=59920
shi yong 	試用	c=15 d=0.0598954 t=59920
shi yong 	適用	c=2 d=1 t=59300
shi yong da liang 	使用大量	c=1 d=1 t=29502
shi yong fang shi 	使用方式	c=1 d=2.10208e-05 t=59920
shi yong le 	使用了	c=11 d=1 t=59302
shi yong lv 	使用率	c=3 d=1.56506e-05 t=59920
shi yong qi 	試用期	c=2 d=1.32465 t=34795
shi yong yu 	適用於	c=2 d=1 t=47331
shi yong zhe 	使用者	c=10 d=0.00219193 t=59920
shi yong zhe lai shuo 	使用者來說	c=1 d=1 t=19452
shi zai 	實在	c=3 d=1 t=53966
shi zai 	是在	c=2 d=1 t=44087
shi ze 	實則	c=1 d=1 t=57791
shi zhe yang 	是這樣	c=1 d=1 t=10269
shi zhi 	實質	c=1 d=1 t=7629
shi zhi 	是指	c=2 d=1 t=46077
shi zhi xing 	實質性	c=2 d=1 t=39680
shi zhong 	始終	c=14 d=0.351692 t=59920
shou 	受	c=3 d=1.00933 t=42692
shou 	手	c=2 d=1 t=10608
shou 	收	c=1 d=1 t=36429
shou 	瘦	c=1 d=1 t=27558
shou bu 	首部	c=1 d=1 t=34634
shou bu dao 	收不到	c=1 d=0.000953854 t=59920
shou cang 	收藏	c=1 d=1 t=27762
shou ce 	手冊	c=8 d=0.079659 t=59920
shou da 	手打	c=2 d=1.98511 t=41086
shou dao 	受到	c=1 d=1 t=45434
shou dao 	收到	c=13 d=0.000303854 t=59920
shou dao le 	收到了	c=2 d=1 t=34115
shou dong 	手動	c=17 d=0.833287 t=59920
shou fa 	收發	c=3 d=1 t=36827
shou fei 	收費	c=1 d=1 t=35877
shou hou 	售後	c=1 d=1 t=20171
shou hui lai 	收回來	c=1 d=1 t=6989
shou ji 	收集	c=3 d=1 t=53022
shou jian 	收件	c=1 d=0.00110269 t=59920
shou jian xiang 	收件箱	c=1 d=1 t=30668
shou lei 	受累	c=57 d=0.811692 t=59920
shou li 	手裏	c=2 d=1 t=27645
shou qu 	收取	c=1 d=1.08646e-05 t=59920
shou shun 	手順	c=1 d=1 t=8720
shou shun 	收順	c=1 d=1 t=7922
shou tou 	手頭	c=8 d=0.00381048 t=59920
shou tuo 	受託	c=1 d=1 t=3771
shou xian 	首先	c=6 d=1.11415e-07 t=59920
shou xie 	手寫	c=1 d=1 t=41079
shou ye 	首頁	c=1 d=1 t=45714
shou yi 	收益	c=1 d=1 t=48603
shou zhi 	手指	c=3 d=1.88251 t=31506
shou zi mu 	首字母	c=2 d=0.00441104 t=59920
shou zu 	受阻	c=1 d=1 t=11444
shu 	數	c=26 d=0.000392185 t=59920
shu 	書	c=2 d=1 t=52514
shu 	熟	c=1 d=3.11276e-07 t=59920
shu chu 	輸出	c=45 d=1 t=58249
shu fu 	舒服	c=1 d=1 t=26356
shu jin qu 	輸進去	c=1 d=1 t=51230
shu ju 	數據	c=311 d=0.927195 t=59920
shu ju bao 	數據包	c=3 d=0.000188292 t=59920
shu ju chu li 	數據處理	c=2 d=1.53526 t=16168
shu ju chuan shu su du 	數據傳輸速度	c=1 d=1 t=47311
shu ju de 	數據的	c=1 d=1 t=50593
shu ju du qu 	數據讀取	c=1 d=1 t=48119
shu ju duan 	數據段	c=1 d=1 t=42946
shu ju fa song 	數據發送	c=1 d=1 t=50487
shu ju fu wu qi 	數據服務器	c=1 d=1 t=33321
shu ju fu zhi 	數據複製	c=1 d=1 t=12415
shu ju hui hua 	數據會話	c=6 d=1 t=48665
shu ju ji shu 	數據技術	c=1 d=0.000293099 t=59920
shu ju jia zai 	數據加載	c=1 d=1 t=59327
shu ju jie gou 	數據結構	c=2 d=1.46682e-07 t=59920
shu ju ku 	數據庫	c=25 d=0.00514911 t=59920
shu ju ku xin xi 	數據庫信息	c=1 d=1 t=42263
shu ju kuai 	數據塊	c=1 d=1 t=23491
shu ju kuai shuo 	數據快說	c=1 d=1 t=11097
shu ju le 	數據了	c=1 d=1 t=42301
shu ju lian jie 	數據鏈接	c=1 d=6.29975e-06 t=59920
shu ju liang 	數據量	c=11 d=1.81285 t=50158
shu ju liang da xiao 	數據量大小	c=1 d=1 t=31763
shu ju liu 	數據流	c=1 d=0.000113353 t=59920
shu ju shi 	數據時	c=2 d=1 t=36472
shu ju xian 	數據線	c=1 d=1 t=22402
shu ju zhui jia 	數據追加	c=1 d=1 t=34242
shu li 	梳理	c=2 d=1.00304 t=46844
shu liang 	數量	c=34 d=0.138079 t=59920
shu liang ji 	數量級	c=1 d=1 t=12291
shu lou 	疏漏	c=2 d=1.85642 t=52733
shu mu 	數目	c=1 d=1 t=56155
shu ru 	輸入	c=2 d=1 t=9230
shu ru fa 	輸入法	c=2 d=1 t=41089
shu wan 	數萬	c=2 d=1.99005 t=52996
shu xi 	熟悉	c=9 d=4.30816e-06 t=59920
shu xing 	屬性	c=3 d=0.00376283 t=59920
shu xing 	樹形	c=6 d=1.87471 t=50536
shu xu guan 	鼠鬚管	c=1 d=1 t=50755
shu yu 	屬於	c=9 d=0.0143357 t=59920
shu zhi 	數值	c=1 d=0.1 t=19189
shu zhi lei xing 	數值類型	c=1 d=1 t=19190
shu zi 	數字	c=4 d=1 t=47750
shu zu 	數組	c=2 d=5.43628e-08 t=59920
shua 	刷	c=1 d=1.056 t=29342
shua dao 	刷到	c=1 d=0.0505395 t=59920
shua jin 	刷進	c=1 d=1 t=42821
shua le 	刷了	c=1 d=1 t=29344
shua xia 	刷下	c=1 d=1 t=22152
shua zhi wen 	刷指紋	c=1 d=1 t=29343
shuang 	雙	c=2 d=0.000312783 t=59920
shuang fang 	雙方	c=1 d=1 t=27107
shuang wang ka 	雙網卡	c=2 d=1.99501 t=48325
shui 	水	c=1 d=0.0621885 t=59920
shui 	誰	c=20 d=0.000997758 t=59920
shui dian 	水電	c=1 d=1 t=20356
shui dui 	誰對	c=1 d=1 t=7121
shui mian 	睡眠	c=2 d=1.00297 t=12604
shui shao 	水少	c=1 d=1 t=37437
shui shuo 	誰說	c=1 d=1 t=15965
shui yao 	誰要	c=1 d=1 t=13982
shun 	順	c=1 d=1 t=8719
shun bian 	順便	c=2 d=1 t=55716
shun dai 	順帶	c=8 d=1.27527 t=57743
shun li 	順利	c=1 d=1 t=24838
shun shou 	順手	c=1 d=1 t=58122
shun xu 	順序	c=17 d=1 t=55207
shuo 	說	c=50 d=1.03423 t=58116
shuo bu qing 	說不清	c=1 d=1 t=35252
shuo cuo le 	說錯了	c=1 d=1 t=28902
shuo de 	說的	c=6 d=1.00153 t=37647
shuo guo 	說過	c=1 d=1 t=10295
shuo le 	說了	c=1 d=1 t=32709
shuo ming 	說明	c=17 d=0.0466538 t=59920
shuo ming bu liao 	說明不了	c=1 d=1 t=53237
shuo ming le 	說明了	c=1 d=1 t=41380
shuo ming shu 	說明書	c=3 d=1.74453 t=54645
shuo qing chu 	說清楚	c=0 d=0.1 t=57818
shuo shi hua 	說實話	c=2 d=1.58275 t=27318
shuo xia 	說下	c=1 d=1 t=51665
shuo yao 	說要	c=1 d=1 t=22102
shuo yi sheng 	說一聲	c=1 d=1 t=24371
shuo yi xia 	說一下	c=3 d=1 t=47038
si 	四	c=1 d=0.421422 t=19271
si 	死	c=1 d=1 t=4354
si ci 	四次	c=1 d=1 t=26254
si dian 	四點	c=18 d=1 t=59193
si dian duo 	四點多	c=1 d=1 t=31499
si fen pian 	四分片	c=1 d=1 t=19272
si huo 	死活	c=2 d=1.92312 t=17581
si le 	死了	c=0 d=0.1 t=55514
si lu 	思路	c=12 d=1 t=58564
si qi 	私企	c=1 d=1 t=27549
si suo 	死鎖	c=11 d=1 t=43608
si tian 	四天	c=0 d=0.1 t=20169
si tian jia 	四天假	c=1 d=1 t=20170
si you 	私有	c=1 d=1 t=20832
si zhong 	四種	c=1 d=1 t=39897
si zu 	四組	c=8 d=7.28485 t=51370
song 	宋	c=0 d=0.1 t=16034
song 	送	c=2 d=1 t=27802
song ce 	送測	c=19 d=0.558436 t=59920
song ce qian 	送測鉛	c=1 d=1 t=4856
song ce wan le 	送測完了	c=1 d=1 t=10838
song guo qu 	送過去	c=1 d=1 t=49589
song huo 	送貨	c=2 d=0.00207043 t=59920
song qu 	送去	c=1 d=1 t=47046
song xian guang 	宋賢廣	c=1 d=1 t=16035
sou 	搜	c=1 d=0.1 t=26978
sou bu dao 	搜不到	c=1 d=1 t=26979
sou suo 	搜索	c=1 d=0.1 t=58344
sou suo lu jing 	搜索路徑	c=1 d=1 t=58345
su 	素	c=1 d=0.00031751 t=59920
su du 	速度	c=11 d=1.08333 t=54311
su duo 	素多	c=8 d=0.115094 t=59920
su yang 	素養	c=1 d=1 t=22996
